Date,Price,Open,High,Low,Change %
"Oct 01, 2020",5.881,5.965,6.042,5.791,-2.23%
"Sep 01, 2020",6.015,5.949,6.109,5.878,-1.04%
"Aug 01, 2020",6.078,5.846,6.231,5.808,4.13%
"Jul 01, 2020",5.837,5.907,5.907,5.747,-0.87%
"Jun 01, 2020",5.888,6.055,6.089,5.755,-2.08%
"May 01, 2020",6.013,6.138,6.25,5.879,-1.59%
"Apr 01, 2020",6.11,6.287,6.504,6.015,-0.46%
"Mar 01, 2020",6.138,6.343,6.449,5.995,-3.66%
"Feb 01, 2020",6.371,6.509,6.52,6.326,-3.46%
"Jan 01, 2020",6.599,6.548,6.692,6.485,0.69%
"Dec 01, 2019",6.554,6.463,6.837,6.448,1.46%
"Nov 01, 2019",6.46,6.431,6.574,6.415,-2.75%
"Oct 01, 2019",6.643,6.68,6.739,6.582,-0.78%
"Sep 01, 2019",6.695,6.498,6.874,6.488,2.12%
"Aug 01, 2019",6.556,6.394,6.639,6.296,2.94%
"Jul 01, 2019",6.369,6.906,6.93,6.266,-7.41%
"Jun 01, 2019",6.879,6.949,7.097,6.734,-2.18%
"May 01, 2019",7.032,7.411,7.426,7.03,-5.15%
"Apr 01, 2019",7.414,7.356,7.497,7.229,0.93%
"Mar 01, 2019",7.346,7.588,7.59,7.301,-3.23%
"Feb 01, 2019",7.591,7.47,7.699,7.425,1.44%
"Jan 01, 2019",7.483,7.401,7.65,7.35,1.53%
"Dec 01, 2018",7.37,7.646,7.703,7.218,-3.12%
"Nov 01, 2018",7.607,7.831,7.84,7.576,-3.13%
"Oct 01, 2018",7.853,7.923,8.21,7.797,-2.13%
"Sep 01, 2018",8.024,7.94,8.231,7.917,0.92%
"Aug 01, 2018",7.951,7.767,7.958,7.681,2.30%
"Jul 01, 2018",7.772,7.889,7.917,7.723,-1.66%
"Jun 01, 2018",7.903,7.86,8,7.769,0.98%
"May 01, 2018",7.826,7.731,7.945,7.553,0.76%
"Apr 01, 2018",7.767,7.333,7.797,7.123,4.99%
"Mar 01, 2018",7.398,7.726,7.8,7.286,-4.25%
"Feb 01, 2018",7.726,7.446,7.816,7.399,3.98%
"Jan 01, 2018",7.43,7.349,7.587,7.243,1.42%
